preverb,verb,grammatical,ungrammatical,grammatical_context,ungrammatical_context,grammatical_context_adverb,ungrammatical_context_adverb,grammatical_context_adverb2,ungrammatical_context_adverb2
el,töltheti,Nem töltheti el,Nem eltöltheti,Nem töltheti el a szabad időt,Nem eltöltheti a szabad időt,Nem mindenáron töltheti el a szabad időt,Nem mindenáron eltöltheti a szabad időt,Nem mindenáron már töltheti el a szabad időt,Nem mindenáron már eltöltheti a szabad időt
meg,próbálnak,Nem próbálnak meg,Nem megpróbálnak,Nem próbálnak meg eredeti új módszert,Nem megpróbálnak eredeti új módszert,Nem azután próbálnak meg eredeti új módszert,Nem azután megpróbálnak eredeti új módszert,Nem azután csak próbálnak meg eredeti új módszert,Nem azután csak megpróbálnak eredeti új módszert
ki,tölti,Nem tölti ki,Nem kitölti,Nem tölti ki a hosszú nyomtatványt,Nem kitölti a hosszú nyomtatványt,Nem mindenáron tölti ki a hosszú nyomtatványt,Nem mindenáron kitölti a hosszú nyomtatványt,Nem mindenáron túl tölti ki a hosszú nyomtatványt,Nem mindenáron túl kitölti a hosszú nyomtatványt
ki,alakult,Nem alakult ki,Nem kialakult,Közöttük nem alakult ki igaz barátság,Közöttük nem kialakult igaz barátság,Közöttük nem időközben alakult ki igaz barátság,Közöttük nem időközben kialakult igaz barátság,Közöttük nem időközben sem alakult ki igaz barátság,Közöttük nem időközben sem kialakult igaz barátság
észre,veszi,Nem veszi észre,Nem észreveszi,Nem veszi észre a nyilvánvaló hibát,Nem észreveszi a nyilvánvaló hibát,Nem ott veszi észre a nyilvánvaló hibát,Nem ott észreveszi a nyilvánvaló hibát,Nem ott sem veszi észre a nyilvánvaló hibát,Nem ott sem észreveszi a nyilvánvaló hibát
hozzá,passzoll,Nem passzoll hozzá,Nem hozzápasszoll,Sajnos nem passzoll hozzá az új kulcs,Sajnos nem hozzápasszoll az új kulcs,Sajnos nem bármikor passzoll hozzá az új kulcs,Sajnos nem bármikor hozzápasszoll az új kulcs,Sajnos nem bármikor pont passzoll hozzá az új kulcs,Sajnos nem bármikor pont hozzápasszoll az új kulcs
meg,szabja,Nem szabja meg,Nem megszabja,Nem szabja meg a végső határidőt,Nem megszabja a végső határidőt,Nem mindenesetre szabja meg a végső határidőt,Nem mindenesetre megszabja a végső határidőt,Nem mindenesetre már szabja meg a végső határidőt,Nem mindenesetre már megszabja a végső határidőt
vissza,térnek,Nem térnek vissza,Nem visszatérnek,Nem térnek vissza a kedves régi helyre,Nem visszatérnek a kedves régi helyre,Nem mindenképpen térnek vissza a kedves régi helyre,Nem mindenképpen visszatérnek a kedves régi helyre,Nem mindenképpen talán térnek vissza a kedves régi helyre,Nem mindenképpen talán visszatérnek a kedves régi helyre
meg,van,Nem van meg,Nem megvan,Neki nem van meg a keresett könyv,Neki nem megvan a keresett könyv,Neki nem csaknem van meg a keresett könyv,Neki nem csaknem megvan a keresett könyv,Neki nem csaknem sem van meg a keresett könyv,Neki nem csaknem sem megvan a keresett könyv
meg,töltöm,Nem töltöm meg,Nem megtöltöm,Nem töltöm meg a zsebem,Nem töltöm meg a zsebem,Nem mindenképpen töltöm meg a zsebem,Nem mindenképpen töltöm meg a zsebem,Nem mindenképpen túl töltöm meg a zsebem,Nem mindenképpen túl töltöm meg a zsebem
végig,énekelhessenek,Nem énekelhessenek végig,Nem végigénekelhessenek,Nem énekelnek végig régi dalt,Nem végigénekelnek régi dalt,Nem mindenesetre énekelnek végig régi dalt,Nem mindenesetre végigénekelnek régi dalt,Nem mindenesetre túl énekelnek végig régi dalt,Nem mindenesetre túl végigénekelnek régi dalt
le,váltsák,Ne váltsák le,Ne leváltsák,Kérlek ne váltsák le a jelenlegi kormányt,Kérlek ne leváltsák a jelenlegi kormányt,Kérlek ne este váltsák le a jelenlegi kormányt,Kérlek ne este leváltsák a jelenlegi kormányt,Kérlek ne este sem váltsák le a jelenlegi kormányt,Kérlek ne este sem leváltsák a jelenlegi kormányt
meg,tisztelte,Nem tisztelte meg,Nem megtisztelte,Egyáltalán nem tisztelte meg az idős szüleit,Egyáltalán nem megtisztelte az idős szüleit,Egyáltalán nem először tisztelte meg az idős szüleit,Egyáltalán nem először megtisztelte az idős szüleit,Egyáltalán nem először túl tisztelte meg az idős szüleit,Egyáltalán nem először túl megtisztelte az idős szüleit
szembe,nézhetnek,Nem nézhetnek szembe,Nem szembenézhetnek,Nem nézhetnek szembe a kellemetlen tényekkel,Nem szembenézhetnek a kellemetlen tényekkel,Nem időközben nézhetnek szembe a kellemetlen tényekkel,Nem időközben szembenézhetnek a kellemetlen tényekkel,Nem időközben már nézhetnek szembe a kellemetlen tényekkel,Nem időközben már szembenézhetnek a kellemetlen tényekkel
ki,veheti,Nem veheti ki,Nem kiveheti,Nem veheti ki a fontos szavát,Nem kiveheti a fontos szavát,Nem este veheti ki a fontos szavát,Nem este kiveheti a fontos szavát,Nem este pont veheti ki a fontos szavát,Nem este pont kiveheti a fontos szavát
be,fejeződne,Nem fejeződne be,Nem befejeződne,Szerintem nem fejeződne be a nehéz munka,Szerintem nem befejeződne a nehéz munka,Szerintem nem okvetlenül fejeződne be a nehéz munka,Szerintem nem okvetlenül befejeződne a nehéz munka,Szerintem nem okvetlenül túl fejeződne be a nehéz munka,Szerintem nem okvetlenül túl befejeződne a nehéz munka
le,zárja,Nem zárja le,Nem lezárja,Nem zárja le a kis boltot,Nem lezárja a kis boltot,Nem emiatt zárja le a kis boltot,Nem emiatt lezárja a kis boltot,Nem emiatt pont zárja le a kis boltot,Nem emiatt pont lezárja a kis boltot
hozzá,jutottak,Nem jutottak hozzá,Nem hozzájutottak,Biztos nem jutottak hozzá fontos információkhoz,Biztos nem hozzájutottak fontos információkhoz,Biztos nem csaknem jutottak hozzá fontos információkhoz,Biztos nem csaknem hozzájutottak fontos információkhoz,Biztos nem csaknem sem jutottak hozzá fontos információkhoz,Biztos nem csaknem sem hozzájutottak fontos információkhoz
el,fogadtatott,Nem fogadtatott el,Nem elfogadtatott,Nem fogadott el új állást,Nem elfogadott új állást,Nem azonnal fogadott el új állást,Nem azonnal elfogadott új állást,Nem azonnal már fogadott el új állást,Nem azonnal már elfogadott új állást
meg,kérték,Nem kérték meg,Nem megkérték,Nem kérték meg az ő segítségét,Nem megkérték az ő segítségét,Nem azért kérték meg az ő segítségét,Nem azért megkérték az ő segítségét,Nem azért túl kérték meg az ő segítségét,Nem azért túl megkérték az ő segítségét
ki,jelentette,Nem jelentette ki,Nem kijelentette,Nem jelentette ki a valódi szándékát,Nem kijelentette a valódi szándékát,Nem bármikor jelentette ki a valódi szándékát,Nem bármikor kijelentette a valódi szándékát,Nem bármikor pont jelentette ki a valódi szándékát,Nem bármikor pont kijelentette a valódi szándékát
bele,illek,Nem illek bele,Nem beleillek,Sajnos nem illek bele az új társaságba,Sajnos nem beleillek az új társaságba,Sajnos nem csaknem illek bele az új társaságba,Sajnos nem csaknem beleillek az új társaságba,Sajnos nem csaknem túl illek bele az új társaságba,Sajnos nem csaknem túl beleillek az új társaságba
meg,issza,Nem issza meg,Nem megissza,Nem issza meg a keserű gyógyszert,Nem megissza a keserű gyógyszert,Nem aznap issza meg a keserű gyógyszert,Nem aznap megissza a keserű gyógyszert,Nem aznap is issza meg a keserű gyógyszert,Nem aznap is megissza a keserű gyógyszert
el,temettek,Nem temettek el,Nem eltemettek,Még nem temettek el híres senkit,Még nem eltemettek híres senkit,Még nem hiába temettek el híres senkit,Még nem hiába eltemettek híres senkit,Még nem hiába talán temettek el híres senkit,Még nem hiába talán eltemettek híres senkit
elő,lépett,Nem lépett elő,Nem előlépett,Nem lépett elő bátran önként,Nem előlépett bátran önként,Nem hiába lépett elő bátran önként,Nem hiába előlépett bátran önként,Nem hiába túl lépett elő bátran önként,Nem hiába túl előlépett bátran önként
ki,aknázhatják,Nem aknázhatják ki,Nem kiaknázhatják,Nem aknázhatják ki a nagy lehetőséget,Nem kiaknázhatják a nagy lehetőséget,Nem csaknem aknázhatják ki a nagy lehetőséget,Nem csaknem kiaknázhatják a nagy lehetőséget,Nem csaknem túl aknázhatják ki a nagy lehetőséget,Nem csaknem túl kiaknázhatják a nagy lehetőséget
el,vesztette,Nem vesztette el,Nem elvesztette,Nem vesztette el az új kulcsát,Nem elvesztette az új kulcsát,Nem ott vesztette el az új kulcsát,Nem ott elvesztette az új kulcsát,Nem ott túl vesztette el az új kulcsát,Nem ott túl elvesztette az új kulcsát
le,fotózta,Nem fotózta le,Nem lefotózta,A riporter nem fotózta le a fontos eseményt,A riporter nem lefotózta a fontos eseményt,A riporter nem mindenáron fotózta le a fontos eseményt,A riporter nem mindenáron lefotózta a fontos eseményt,A riporter nem mindenáron pont fotózta le a fontos eseményt,A riporter nem mindenáron pont lefotózta a fontos eseményt
el,ért,Nem ért el,Nem elért,Nem ért el jelentős eredményt,Nem elért jelentős eredményt,Nem időközben ért el jelentős eredményt,Nem időközben elért jelentős eredményt,Nem időközben túl ért el jelentős eredményt,Nem időközben túl elért jelentős eredményt
át,utalt,Nem utalt át,Nem átutalt,Nem utalt át sok pénzt,Nem átutalt sok pénzt,Nem okvetlenül utalt át sok pénzt,Nem okvetlenül átutalt sok pénzt,Nem okvetlenül pont utalt át sok pénzt,Nem okvetlenül pont átutalt sok pénzt
meg,lesz,Nem lesz meg,Nem meglesz,Holnap nem lesz meg a gyors válasz,Holnap nem meglesz a gyors válasz,Holnap nem bármikor lesz meg a gyors válasz,Holnap nem bármikor meglesz a gyors válasz,Holnap nem bármikor már lesz meg a gyors válasz,Holnap nem bármikor már meglesz a gyors válasz
meg,alakult,Nem alakult meg,Nem megalakult,Még nem alakult meg az új csapat,Még nem megalakult az új csapat,Még nem este alakult meg az új csapat,Még nem este megalakult az új csapat,Még nem este sem alakult meg az új csapat,Még nem este sem megalakult az új csapat
meg,tárgyalja,Nem tárgyalja meg,Nem megtárgyalja,Nem tárgyalja meg a komoly ügyet,Nem megtárgyalja a komoly ügyet,Nem azonnal tárgyalja meg a komoly ügyet,Nem azonnal megtárgyalja a komoly ügyet,Nem azonnal már tárgyalja meg a komoly ügyet,Nem azonnal már megtárgyalja a komoly ügyet
meg,teremti,Nem teremti meg,Nem megteremti,Biztos nem teremti meg a békét,Biztos nem megteremti a békét,Biztos nem ezért teremti meg a békét,Biztos nem ezért megteremti a békét,Biztos nem ezért pont teremti meg a békét,Biztos nem ezért pont megteremti a békét
vissza,hozta,Nem hozta vissza,Nem visszahozta,Nem hozta vissza a kölcsönzött könyvet,Nem visszahozta a kölcsönzött könyvet,Nem emiatt hozta vissza a kölcsönzött könyvet,Nem emiatt visszahozta a kölcsönzött könyvet,Nem emiatt pont hozta vissza a kölcsönzött könyvet,Nem emiatt pont visszahozta a kölcsönzött könyvet
be,bizonyítania,Nem bizonyítania be,Nem bebizonyítania,Nem bizonyítja be a teljes ártatlanságát,Nem bebizonyítja a teljes ártatlanságát,Nem ilyenkor bizonyítja be a teljes ártatlanságát,Nem ilyenkor bebizonyítja a teljes ártatlanságát,Nem ilyenkor pont bizonyítja be a teljes ártatlanságát,Nem ilyenkor pont bebizonyítja a teljes ártatlanságát
le,telepedhetnek,Nem telepedhetnek le,Nem letelepedhetnek,Nem telepedhetnek le a nagy városban,Nem letelepedhetnek a nagy városban,Nem mindenesetre telepedhetnek le a nagy városban,Nem mindenesetre letelepedhetnek a nagy városban,Nem mindenesetre túl telepedhetnek le a nagy városban,Nem mindenesetre túl letelepedhetnek a nagy városban
át,adott,Nem adott át,Nem átadott,Nem adott át fontos üzenetet,Nem átadott fontos üzenetet,Nem igazából adott át fontos üzenetet,Nem igazából átadott fontos üzenetet,Nem igazából sem adott át fontos üzenetet,Nem igazából sem átadott fontos üzenetet
meg,állapítsa,Ne állapítsa meg,Ne megállapítsa,Kérlek ne állapítsa meg a fontos tényeket,Kérlek ne megállapítsa a fontos tényeket,Kérlek ne igazából állapítsa meg a fontos tényeket,Kérlek ne igazából megállapítsa a fontos tényeket,Kérlek ne igazából pont állapítsa meg a fontos tényeket,Kérlek ne igazából pont megállapítsa a fontos tényeket
el,lopták,Nem lopták el,Nem ellopták,Nem lopták el a régi kincset,Nem ellopták a régi kincset,Nem aznap lopták el a régi kincset,Nem aznap ellopták a régi kincset,Nem aznap sem lopták el a régi kincset,Nem aznap sem ellopták a régi kincset
át,vette,Nem vette át,Nem átvette,Nem vette át a vezető pozíciót,Nem átvette a vezető pozíciót,Nem ezért vette át a vezető pozíciót,Nem ezért átvette a vezető pozíciót,Nem ezért pont vette át a vezető pozíciót,Nem ezért pont átvette a vezető pozíciót
össze,állított,Nem állított össze,Nem összeállított,Nem állított össze részletes jelentést,Nem összeállított részletes jelentést,Nem korábban állított össze részletes jelentést,Nem korábban összeállított részletes jelentést,Nem korábban pont állított össze részletes jelentést,Nem korábban pont összeállított részletes jelentést
be,nyújtott,Nem nyújtott be,Nem benyújtott,Nem nyújtott be hivatalos kérelmet,Nem benyújtott hivatalos kérelmet,Nem amiatt nyújtott be hivatalos kérelmet,Nem amiatt benyújtott hivatalos kérelmet,Nem amiatt pont nyújtott be hivatalos kérelmet,Nem amiatt pont benyújtott hivatalos kérelmet
fel,halmoztak,Nem halmoztak fel,Nem felhalmoztak,Nem halmoztak fel sok tapasztalatot,Nem felhalmoztak sok tapasztalatot,Nem ilyenkor halmoztak fel sok tapasztalatot,Nem ilyenkor felhalmoztak sok tapasztalatot,Nem ilyenkor pont halmoztak fel sok tapasztalatot,Nem ilyenkor pont felhalmoztak sok tapasztalatot
ki,teszi,Nem teszi ki,Nem kiteszi,Nem teszi ki a nagy szemetet,Nem kiteszi a nagy szemetet,Nem ilyenkor teszi ki a nagy szemetet,Nem ilyenkor kiteszi a nagy szemetet,Nem ilyenkor túl teszi ki a nagy szemetet,Nem ilyenkor túl kiteszi a nagy szemetet
meg,honosították,Nem honosították meg,Nem meghonosították,Nem honosították meg az új növényt,Nem meghonosították az új növényt,Nem mindenütt honosították meg az új növényt,Nem mindenütt meghonosították az új növényt,Nem mindenütt már honosították meg az új növényt,Nem mindenütt már meghonosították az új növényt
meg,kapnák,Nem kapnák meg,Nem megkapnák,Nem kapnák meg a szükséges támogatást,Nem megkapnák a szükséges támogatást,Nem időközben kapnák meg a szükséges támogatást,Nem időközben megkapnák a szükséges támogatást,Nem időközben már kapnák meg a szükséges támogatást,Nem időközben már megkapnák a szükséges támogatást
ki,vesszen,Ne vesszen ki,Ne kivesszen,Ne vesszen ki az éjszakai gyertyák,Ne kivesszen az éjszakai gyertyák,Ne azonnal vesszen ki az éjszakai gyertyák,Ne azonnal kivesszen az éjszakai gyertyák,Ne azonnal sem vesszen ki az éjszakai gyertyák,Ne azonnal sem kivesszen az éjszakai gyertyák
hozzá,teszi,Nem teszi hozzá,Nem hozzáteszi,Nem teszi hozzá a kevés sót,Nem hozzáteszi a kevés sót,Nem este teszi hozzá a kevés sót,Nem este hozzáteszi a kevés sót,Nem este túl teszi hozzá a kevés sót,Nem este túl hozzáteszi a kevés sót
le,csapott,Nem csapott le,Nem lecsapott,Nem csapott le a nagy madár,Nem lecsapott a nagy madár,Nem mindjárt csapott le a nagy madár,Nem mindjárt lecsapott a nagy madár,Nem mindjárt talán csapott le a nagy madár,Nem mindjárt talán lecsapott a nagy madár
fel,ajánlják,Nem ajánlják fel,Nem felajánlják,Nem ajánlják fel az ingyenes segítséget,Nem felajánlják az ingyenes segítséget,Nem ott ajánlják fel az ingyenes segítséget,Nem ott felajánlják az ingyenes segítséget,Nem ott sem ajánlják fel az ingyenes segítséget,Nem ott sem felajánlják az ingyenes segítséget
hozzá,járulnak,Nem járulnak hozzá,Nem hozzájárulnak,Nem járulnak hozzá a közös projekthez,Nem hozzájárulnak a közös projekthez,Nem aztán járulnak hozzá a közös projekthez,Nem aztán hozzájárulnak a közös projekthez,Nem aztán túl járulnak hozzá a közös projekthez,Nem aztán túl hozzájárulnak a közös projekthez
el,fogadtak,Nem fogadtak el,Nem elfogadtak,Nem fogadtak el előnyös ajánlatot,Nem elfogadtak előnyös ajánlatot,Nem mindenütt fogadtak el előnyös ajánlatot,Nem mindenütt elfogadtak előnyös ajánlatot,Nem mindenütt túl fogadtak el előnyös ajánlatot,Nem mindenütt túl elfogadtak előnyös ajánlatot
fel,veszik,Nem veszik fel,Nem felveszik,Nem veszik fel a hívó telefont,Nem felveszik a hívó telefont,Nem ezért veszik fel a hívó telefont,Nem ezért felveszik a hívó telefont,Nem ezért túl veszik fel a hívó telefont,Nem ezért túl felveszik a hívó telefont
utol,értük,Nem értük utol,Nem utolértük,Nem értük utol a gyors buszt,Nem utolértük a gyors buszt,Nem ilyenkor értük utol a gyors buszt,Nem ilyenkor utolértük a gyors buszt,Nem ilyenkor is értük utol a gyors buszt,Nem ilyenkor is utolértük a gyors buszt
rá,vette,Nem vette rá,Nem rávette,Nem vette rá a régi barátját,Nem rávette a régi barátját,Nem este vette rá a régi barátját,Nem este rávette a régi barátját,Nem este túl vette rá a régi barátját,Nem este túl rávette a régi barátját
fel,csapnak,Nem csapnak fel,Nem felcsapnak,Nem csapnak le a kis madarak,Nem lecsapnak a kis madarak,Nem csaknem csapnak le a kis madarak,Nem csaknem lecsapnak a kis madarak,Nem csaknem túl csapnak le a kis madarak,Nem csaknem túl lecsapnak a kis madarak
fel,vehetnek,Nem vehetnek fel,Nem felvehetnek,Nem vehetnek fel fiatal új tagot,Nem felvehetnek fiatal új tagot,Nem akkor vehetnek fel fiatal új tagot,Nem akkor felvehetnek fiatal új tagot,Nem akkor túl vehetnek fel fiatal új tagot,Nem akkor túl felvehetnek fiatal új tagot
fel,mentették,Nem mentették fel,Nem felmentették,Nem mentették fel a kedves tanárt,Nem felmentették a kedves tanárt,Nem mindenütt mentették fel a kedves tanárt,Nem mindenütt felmentették a kedves tanárt,Nem mindenütt túl mentették fel a kedves tanárt,Nem mindenütt túl felmentették a kedves tanárt
meg,tartják,Nem tartják meg,Nem megtartják,Nem tartják meg a fontos ígéretüket,Nem megtartják a fontos ígéretüket,Nem mindenütt tartják meg a fontos ígéretüket,Nem mindenütt megtartják a fontos ígéretüket,Nem mindenütt túl tartják meg a fontos ígéretüket,Nem mindenütt túl megtartják a fontos ígéretüket
be,jut,Nem jut be,Nem bejut,Nem jut be a kedvenc csapat,Nem bejut a kedvenc csapat,Nem mindjárt jut be a kedvenc csapat,Nem mindjárt bejut a kedvenc csapat,Nem mindjárt túl jut be a kedvenc csapat,Nem mindjárt túl bejut a kedvenc csapat
fel,függesztette,Nem függesztette fel,Nem felfüggesztette,Nem függesztette fel a népszerű műsort,Nem felfüggesztette a népszerű műsort,Nem csaknem függesztette fel a népszerű műsort,Nem csaknem felfüggesztette a népszerű műsort,Nem csaknem túl függesztette fel a népszerű műsort,Nem csaknem túl felfüggesztette a népszerű műsort
oda,ítélte,Nem ítélte oda,Nem odaítélte,Nem ítélte oda a fő díjat,Nem odaítélte a fő díjat,Nem ott ítélte oda a fő díjat,Nem ott odaítélte a fő díjat,Nem ott túl ítélte oda a fő díjat,Nem ott túl odaítélte a fő díjat
elő,fordulhatna,Nem fordulhatna elő,Nem előfordulhatna,Nem fordulhatna elő súlyos baleset,Nem előfordulhatna súlyos baleset,Nem bármikor fordulhatna elő súlyos baleset,Nem bármikor előfordulhatna súlyos baleset,Nem bármikor túl fordulhatna elő súlyos baleset,Nem bármikor túl előfordulhatna súlyos baleset
el,pusztította,Nem pusztította el,Nem elpusztította,Nem pusztította el az öreg fát,Nem elpusztította az öreg fát,Nem holnap pusztította el az öreg fát,Nem holnap elpusztította az öreg fát,Nem holnap túl pusztította el az öreg fát,Nem holnap túl elpusztította az öreg fát
fel,bontják,Nem bontják fel,Nem felbontják,Nem bontják fel a régi szerződést,Nem felbontják a régi szerződést,Nem azóta bontják fel a régi szerződést,Nem azóta felbontják a régi szerződést,Nem azóta túl bontják fel a régi szerződést,Nem azóta túl felbontják a régi szerződést
le,játssza,Ne játssza le,Ne lejátssza,Inkább ne játssza le a régi filmet,Inkább ne lejátssza a régi filmet,Inkább ne hiába játssza le a régi filmet,Inkább ne hiába lejátssza a régi filmet,Inkább ne hiába túl játssza le a régi filmet,Inkább ne hiába túl lejátssza a régi filmet
fel,állították,Nem állították fel,Nem felállították,Nem állították fel a nagy sátrat,Nem felállították a nagy sátrat,Nem holnap állították fel a nagy sátrat,Nem holnap felállították a nagy sátrat,Nem holnap túl állították fel a nagy sátrat,Nem holnap túl felállították a nagy sátrat
ki,adott,Nem adott ki,Nem kiadott,Nem adott ki szigorú parancsot,Nem kiadott szigorú parancsot,Nem azonnal adott ki szigorú parancsot,Nem azonnal kiadott szigorú parancsot,Nem azonnal túl adott ki szigorú parancsot,Nem azonnal túl kiadott szigorú parancsot
ki,fejezi,Nem fejezi ki,Nem kifejezi,Nem fejezi ki a nyílt véleményét,Nem kifejezi a nyílt véleményét,Nem aznap fejezi ki a nyílt véleményét,Nem aznap kifejezi a nyílt véleményét,Nem aznap túl fejezi ki a nyílt véleményét,Nem aznap túl kifejezi a nyílt véleményét
fel,tűnjön,Ne tűnjön fel,Ne feltűnjön,Ne tűnjön fel váratlanul hirtelen,Ne feltűnjön váratlanul hirtelen,Ne holnap tűnjön fel váratlanul hirtelen,Ne holnap feltűnjön váratlanul hirtelen,Ne holnap túl tűnjön fel váratlanul hirtelen,Ne holnap túl feltűnjön váratlanul hirtelen
el,mentek,Nem mentek el,Nem elmentek,Nem mentek el a nagy buliba,Nem elmentek a nagy buliba,Nem holnap mentek el a nagy buliba,Nem holnap elmentek a nagy buliba,Nem holnap túl mentek el a nagy buliba,Nem holnap túl elmentek a nagy buliba
szét,küldték,Nem küldték szét,Nem szétküldték,Nem küldték szét az összes meghívókat,Nem szétküldték az összes meghívókat,Nem azután küldték szét az összes meghívókat,Nem azután szétküldték az összes meghívókat,Nem azután túl küldték szét az összes meghívókat,Nem azután túl szétküldték az összes meghívókat
fel,forgatta,Nem forgatta fel,Nem felforgatta,Nem forgatta fel a nedves földet,Nem felforgatta a nedves földet,Nem mindjárt forgatta fel a nedves földet,Nem mindjárt felforgatta a nedves földet,Nem mindjárt túl forgatta fel a nedves földet,Nem mindjárt túl felforgatta a nedves földet
be,töltötte,Nem töltötte be,Nem betöltötte,Nem töltötte be a fontos pozíciót,Nem betöltötte a fontos pozíciót,Nem mindig töltötte be a fontos pozíciót,Nem mindig betöltötte a fontos pozíciót,Nem mindig túl töltötte be a fontos pozíciót,Nem mindig túl betöltötte a fontos pozíciót
elő,állt,Nem állt elő,Nem előállt,Nem állt elő eredeti új ötlettel,Nem előállt eredeti új ötlettel,Nem azután állt elő eredeti új ötlettel,Nem azután előállt eredeti új ötlettel,Nem azután túl állt elő eredeti új ötlettel,Nem azután túl előállt eredeti új ötlettel
át,ölelte,Nem ölelte át,Nem átölelte,Nem ölelte át a régi barátját,Nem átölelte a régi barátját,Nem mindenütt ölelte át a régi barátját,Nem mindenütt átölelte a régi barátját,Nem mindenütt túl ölelte át a régi barátját,Nem mindenütt túl átölelte a régi barátját
be,látnom,Nem látom be,Nem belátom,Nem látom be a saját hibám,Nem belátom a saját hibám,Nem mindenképpen látom be a saját hibám,Nem mindenképpen belátom a saját hibám,Nem mindenképpen túl látom be a saját hibám,Nem mindenképpen túl belátom a saját hibám
át,adtak,Nem adtak át,Nem átadtak,Nem adtak át fontos információt,Nem átadtak fontos információt,Nem ezért adtak át fontos információt,Nem ezért átadtak fontos információt,Nem ezért túl adtak át fontos információt,Nem ezért túl átadtak fontos információt
közzé,tette,Nem tette közzé,Nem közzétette,Nem tette közzé a friss cikket,Nem közzétette a friss cikket,Nem azóta tette közzé a friss cikket,Nem azóta közzétette a friss cikket,Nem azóta túl tette közzé a friss cikket,Nem azóta túl közzétette a friss cikket
be,fejeznék,Nem fejeznék be,Nem befejeznék,Nem fejeznék be a nehéz feladatot,Nem befejeznék a nehéz feladatot,Nem akkoriban fejeznék be a nehéz feladatot,Nem akkoriban befejeznék a nehéz feladatot,Nem akkoriban pont fejeznék be a nehéz feladatot,Nem akkoriban pont befejeznék a nehéz feladatot
meg,hosszabbítja,Nem hosszabbítja meg,Nem meghosszabbítja,Nem hosszabbítja meg a régi szerződést,Nem meghosszabbítja a régi szerződést,Nem akkor hosszabbítja meg a régi szerződést,Nem akkor meghosszabbítja a régi szerződést,Nem akkor túl hosszabbítja meg a régi szerződést,Nem akkor túl meghosszabbítja a régi szerződést
rá,mutatnak,Nem mutatnak rá,Nem rámutatnak,Nem mutatnak rá a nyilvánvaló hibára,Nem rámutatnak a nyilvánvaló hibára,Nem aztán mutatnak rá a nyilvánvaló hibára,Nem aztán rámutatnak a nyilvánvaló hibára,Nem aztán túl mutatnak rá a nyilvánvaló hibára,Nem aztán túl rámutatnak a nyilvánvaló hibára
ki,zárják,Ne zárják ki,Ne kizárják,Ne zárják ki a fiatal tagot,Ne kizárják a fiatal tagot,Ne időközben zárják ki a fiatal tagot,Ne időközben kizárják a fiatal tagot,Ne időközben túl zárják ki a fiatal tagot,Ne időközben túl kizárják a fiatal tagot
ki,terjeszti,Nem terjeszti ki,Nem kiterjeszti,Nem terjeszti ki a saját hatáskörét,Nem kiterjeszti a saját hatáskörét,Nem aznap terjeszti ki a saját hatáskörét,Nem aznap kiterjeszti a saját hatáskörét,Nem aznap túl terjeszti ki a saját hatáskörét,Nem aznap túl kiterjeszti a saját hatáskörét
meg,ítélhetnék,Nem ítélhetnék meg,Nem megítélhetnék,Nem ítélhetnék meg a bonyolult helyzetet,Nem megítélhetnék a bonyolult helyzetet,Nem mindenáron ítélhetnék meg a bonyolult helyzetet,Nem mindenáron megítélhetnék a bonyolult helyzetet,Nem mindenáron túl ítélhetnék meg a bonyolult helyzetet,Nem mindenáron túl megítélhetnék a bonyolult helyzetet
el,hozza,Nem hozza el,Nem elhozza,Nem hozza el az összes holmiját,Nem elhozza az összes holmiját,Nem azért hozza el az összes holmiját,Nem azért elhozza az összes holmiját,Nem azért túl hozza el az összes holmiját,Nem azért túl elhozza az összes holmiját
ki,váltott,Nem váltott ki,Nem kiváltott,Nem váltott ki erős reakciót,Nem kiváltott erős reakciót,Nem bármikor váltott ki erős reakciót,Nem bármikor kiváltott erős reakciót,Nem bármikor túl váltott ki erős reakciót,Nem bármikor túl kiváltott erős reakciót
meg,teremtenie,Nem teremtenie meg,Nem megteremtenie,Nem teremtette meg az egész világot,Nem megteremtette az egész világot,Nem bármikor teremtette meg az egész világot,Nem bármikor megteremtette az egész világot,Nem bármikor túl teremtette meg az egész világot,Nem bármikor túl megteremtette az egész világot
fel,hangzanak,Nem hangzanak fel,Nem felhangzanak,Nem hangzanak el keserű szavak,Nem elhangzanak keserű szavak,Nem csaknem hangzanak el keserű szavak,Nem csaknem elhangzanak keserű szavak,Nem csaknem túl hangzanak el keserű szavak,Nem csaknem túl elhangzanak keserű szavak
meg,rendezik,Nem rendezik meg,Nem megrendezik,Nem rendezik meg a fontos ügyet,Nem megrendezik a fontos ügyet,Nem igazán rendezik meg a fontos ügyet,Nem igazán megrendezik a fontos ügyet,Nem igazán túl rendezik meg a fontos ügyet,Nem igazán túl megrendezik a fontos ügyet
ki,zárja,Nem zárja ki,Nem kizárja,Nem zárja ki a fontos lehetőséget,Nem kizárni a fontos lehetőséget,Nem emiatt zárja ki a fontos lehetőséget,Nem emiatt kizárni a fontos lehetőséget,Nem emiatt túl zárja ki a fontos lehetőséget,Nem emiatt túl kizárni a fontos lehetőséget
meg,találtam,Nem találtam meg,Nem megtaláltam,Nem találtam meg az elveszett kulcsot,Nem megtaláltam az elveszett kulcsot,Nem mindjárt találtam meg az elveszett kulcsot,Nem mindjárt megtaláltam az elveszett kulcsot,Nem mindjárt túl találtam meg az elveszett kulcsot,Nem mindjárt túl megtaláltam az elveszett kulcsot
